term,estimate,std.error,statistic,p.value
(Intercept),110.2332352472374,92.79511379472362,1.187920686115968,0.23487991534191968
total_items,1.5686478369895656,0.005346658812261787,293.3884304328713,0
avg_price,1.2243198226322882,0.0568812662784237,21.524130926331,1.6262062926319506e-101
countryAustria,31.83405216189688,193.00728022255876,0.16493705380019186,0.8689953298330194
countryBahrain,-46.2497516058721,502.2307643509021,-0.09208864706973227,0.9266286059237805
countryBelgium,-67.23616627643213,116.46663549528222,-0.5772998077132202,0.5637439713738891
countryBrazil,469.47225957484983,704.1700288383897,0.6667029841490114,0.5049701898375147
countryCanada,-335.82742136761823,299.68645706785463,-1.1205959209947902,0.26247445412136505
countryChannel Islands,84.46016006406131,165.30250270677578,0.5109430207108369,0.6093970551735803
countryCyprus,83.72212203210371,197.57739586975515,0.42374342299406614,0.6717578716916051
countryCzech Republic,-227.3464501885344,502.21633129254116,-0.45268629477543815,0.6507799601778728
countryDenmark,220.8553492707221,188.80889058862329,1.1697296063876654,0.24212487510835565
countryEIRE,42.47217328815849,102.2144208095911,0.4155203634844956,0.6777658322259428
countryEuropean Community,9.60886678954684,361.1347306795065,0.026607429231375553,0.9787731347844184
countryFinland,12.486670478377373,143.09167478605096,0.08726343092319871,0.930463065802084
countryFrance,-58.28283732226826,99.20953647970508,-0.5874721260711762,0.5568938381424873
countryGermany,-30.37086895718392,98.2688758496923,-0.30905888252591646,0.75728021767027
countryGreece,348.05075670803876,325.6400715530973,1.0688204158906385,0.28516454898133453
countryIceland,-48.4673567204871,279.6334791026123,-0.1733245850104446,0.8623981970678638
countryIsrael,60.71570200088026,325.6002625045381,0.18647313590551554,0.8520757892179143
countryItaly,5.886578277622912,146.34493286745655,0.04022399793612492,0.967914979739344
countryJapan,-291.3686128219777,184.91870111313466,-1.5756579030030942,0.11512176953685464
countryLebanon,971.5526086125801,704.1686632731468,1.379715768799719,0.1676908571410247
countryLithuania,46.554972639225525,361.13099410236975,0.12891436459211417,0.8974268121265334
countryMalta,124.21019572742753,325.6525952765992,0.38141933314527177,0.7028964995386178
countryNetherlands,-421.3537092820926,117.23844461817734,-3.5939892469092296,3.264995673901751e-4
countryNorway,12.643013578778211,148.6957529207395,0.08502605710277024,0.9322415955520055
countryPoland,-34.694671237849924,185.043908420272,-0.1874942630321628,0.8512751783442177
countryPortugal,-63.42989738811091,130.96781406984059,-0.4843166837486189,0.6281668729108376
countryRSA,336.15236084668214,704.1702589322143,0.4773736984524381,0.6331016813090588
countrySaudi Arabia,-92.68357414496445,704.1841594303863,-0.13161837411954294,0.8952875833218163
countrySingapore,686.1778540783733,283.87375182192505,2.417193733744059,0.015650299798289875
countrySpain,81.09396717718421,118.32753469447593,0.6853347142452555,0.4931413210983788
countrySweden,-623.8672488682804,148.62795545324255,-4.197509458875287,2.7112714263683163e-5
countrySwitzerland,61.97190549559302,134.62990838326695,0.4603130629723838,0.6452969383644724
countryUnited Arab Emirates,-7.236306728704842,413.5333214391389,-0.017498727076023145,0.9860389371120873
countryUnited Kingdom,-78.32556011430836,92.84542370564571,-0.8436125011678477,0.39889688802578205
countryUnspecified,-132.04893951657488,263.6327081459403,-0.5008822328808912,0.6164599686352072
countryUSA,-168.12102091806725,325.62326983358696,-0.5163053027628743,0.6056473665395985
